title_type,unit,titles,min_value,p25,median_value,p75,p95,max_value,mean_value
Movie,minutes,5377,3,86.0,98.0,114.0,148.0,312,99.3
TV Show,seasons,2410,1,1.0,1.0,2.0,5.0,16,1.78
