person_name,role,credits,movies,tv_shows,top_billed_credits,countries,first_year,last_year
Andy Samberg,actor,11,7.0,4.0,5.0,2,2007,2019
Keegan-Michael Key,actor,11,8.0,3.0,6.0,2,2016,2020
Dalip Tahil,actor,11,11.0,0.0,0.0,2,1985,2020
Ryan Reynolds,actor,11,11.0,0.0,7.0,3,2004,2019
Takehito Koyasu,actor,11,2.0,9.0,3.0,1,1995,2020
Sathyaraj,actor,11,11.0,0.0,3.0,1,2014,2019
Paul Rudd,actor,11,8.0,3.0,6.0,3,2010,2019
Kathryn Hahn,actor,11,10.0,1.0,4.0,2,2008,2018
Tay Ping Hui,actor,11,0.0,11.0,7.0,2,2007,2020
Kenjiro Tsuda,actor,11,2.0,9.0,1.0,2,2012,2020
Alison Brie,actor,11,7.0,4.0,6.0,2,2014,2020
Kenta Miyake,actor,10,4.0,6.0,0.0,1,2009,2020
Nolan North,actor,10,6.0,4.0,0.0,2,2007,2020
Keanu Reeves,actor,10,10.0,0.0,9.0,1,1999,2017
Viola Davis,actor,10,9.0,1.0,5.0,1,2006,2020
Justin Long,actor,10,8.0,2.0,5.0,3,2005,2020
Aoi Yuki,actor,10,3.0,7.0,4.0,1,2011,2020
Don Cheadle,actor,10,10.0,0.0,5.0,2,1987,2018
Kalki Koechlin,actor,10,9.0,1.0,6.0,2,2009,2020
Randeep Hooda,actor,10,10.0,0.0,9.0,2,2008,2020
Paul Giamatti,actor,10,10.0,0.0,7.0,3,2002,2018
Nobuhiko Okamoto,actor,10,0.0,10.0,3.0,1,2010,2019
Jay Baruchel,actor,10,6.0,4.0,7.0,2,2010,2018
John Leguizamo,actor,10,8.0,2.0,5.0,2,1995,2020
Preity Zinta,actor,10,10.0,0.0,7.0,1,1998,2009
Arshad Warsi,actor,10,10.0,0.0,9.0,2,2005,2016
Michael Madsen,actor,10,9.0,1.0,2.0,3,1993,2019
Junko Takeuchi,actor,10,7.0,3.0,8.0,1,2005,2017
Matt Damon,actor,10,10.0,0.0,10.0,2,1997,2020
Paul Schrier,actor,10,4.0,6.0,0.0,1,1996,2012
Susan Sarandon,actor,10,8.0,2.0,3.0,4,2000,2018
Nicole Anthony,actor,10,8.0,2.0,0.0,2,2018,2020
Hrithik Roshan,actor,10,10.0,0.0,8.0,1,2000,2017
Vivek Oberoi,actor,10,10.0,0.0,7.0,1,2002,2013
Johnny Lever,actor,10,10.0,0.0,0.0,1,1994,2015
Prem Chopra,actor,10,10.0,0.0,0.0,2,1973,2013
Eddie Marsan,actor,10,9.0,1.0,4.0,4,2009,2020
America Young,actor,10,8.0,2.0,3.0,1,2011,2020
Raj Babbar,actor,10,10.0,0.0,3.0,2,1987,2016
Bimbo Manuel,actor,10,8.0,2.0,3.0,2,2016,2019
Russell Peters,actor,10,7.0,3.0,6.0,2,2011,2019
Sardar Sohi,actor,10,10.0,0.0,1.0,1,2013,2018
Mukesh Tiwari,actor,10,10.0,0.0,0.0,1,2002,2017
Kathryn Bernardo,actor,10,10.0,0.0,9.0,1,2012,2019
John Malkovich,actor,10,9.0,1.0,4.0,2,1998,2020
Katsuyuki Konishi,actor,10,0.0,10.0,2.0,1,1999,2020
Nassar,actor,10,10.0,0.0,2.0,1,2015,2019
Will Smith,actor,10,9.0,1.0,10.0,1,1995,2018
Shreyas Talpade,actor,10,10.0,0.0,8.0,1,2005,2017
Shraddha Kapoor,actor,10,10.0,0.0,6.0,1,2010,2019
Christopher Lee,actor,10,4.0,6.0,5.0,6,1986,2016
Rob Schneider,actor,10,9.0,1.0,3.0,1,1999,2020
Ramya Krishnan,actor,10,10.0,0.0,0.0,1,1993,2019
Chris Parnell,actor,10,7.0,3.0,1.0,3,2007,2020
Neha Dhupia,actor,10,10.0,0.0,3.0,1,2005,2018
Jacki Weaver,actor,10,9.0,1.0,4.0,3,2012,2018
Yukari Tamura,actor,10,2.0,8.0,2.0,1,2009,2019
Loretta Devine,actor,10,8.0,2.0,5.0,1,2005,2020
James Marsden,actor,10,9.0,1.0,5.0,2,2006,2020
Tracy Morgan,actor,10,7.0,3.0,5.0,2,1996,2019
Adesua Etomi,actor,10,9.0,1.0,7.0,2,2016,2019
Kristen Bell,actor,10,9.0,1.0,6.0,2,2010,2020
Jigna Bharadhwaj,actor,10,8.0,2.0,5.0,1,2018,2019
Anthony Anderson,actor,10,9.0,1.0,6.0,1,2001,2020
Dennis Quaid,actor,10,9.0,1.0,8.0,1,1994,2019
Sayaka Ohara,actor,10,1.0,9.0,1.0,1,2008,2020
Sonam Kapoor,actor,10,10.0,0.0,8.0,1,2009,2019
Oprah Winfrey,actor,10,9.0,1.0,4.0,1,1988,2020
Steven Spielberg,director,10,10.0,0.0,0.0,1,1981,2012
Tamannaah Bhatia,actor,10,10.0,0.0,2.0,1,2013,2018
Sunil Shetty,actor,10,10.0,0.0,4.0,1,2004,2012
Ryohei Kimura,actor,10,0.0,10.0,1.0,2,2010,2020
Carla Gugino,actor,10,8.0,2.0,7.0,1,2001,2020
Cezmi Baskın,actor,10,9.0,1.0,2.0,1,2001,2020
Daisuke Namikawa,actor,10,1.0,9.0,3.0,2,2012,2020
Anton Yelchin,actor,10,9.0,1.0,4.0,3,2001,2018
Sean Bean,actor,10,8.0,2.0,5.0,3,1992,2019
Meryl Streep,actor,10,9.0,1.0,6.0,3,1994,2020
Helena Bonham Carter,actor,10,9.0,1.0,5.0,2,1992,2020
Tom Kenny,actor,10,4.0,6.0,3.0,4,2010,2020
Raghuvir Yadav,actor,10,10.0,0.0,3.0,2,1993,2019
Zakir Hussain,actor,10,10.0,0.0,1.0,1,2004,2019
Donnie Yen,actor,10,10.0,0.0,10.0,2,2004,2019
Atul Kulkarni,actor,10,10.0,0.0,6.0,1,2003,2019
Jeff Bennett,actor,10,7.0,3.0,0.0,1,1999,2020
Amrita Rao,actor,10,10.0,0.0,5.0,1,2002,2019
Mario Casas,actor,10,9.0,1.0,10.0,1,2013,2020
Nicole Oliver,actor,10,8.0,2.0,1.0,1,2009,2018
Bruce Dern,actor,10,9.0,1.0,3.0,1,2014,2019
Grey DeLisle,actor,10,5.0,5.0,2.0,1,2005,2018
Karamjit Anmol,actor,10,10.0,0.0,3.0,1,2013,2019
Rupa Bhimani,actor,10,7.0,3.0,7.0,1,2018,2019
Harvey Keitel,actor,10,10.0,0.0,4.0,2,1967,2019
Steve Coogan,actor,10,9.0,1.0,4.0,4,1995,2019
Nobunaga Shimazaki,actor,10,2.0,8.0,8.0,1,2014,2020
Danny Glover,actor,10,10.0,0.0,6.0,6,2010,2019
Pierce Brosnan,actor,10,10.0,0.0,8.0,3,1995,2020
Christopher Meloni,actor,10,7.0,3.0,4.0,2,1998,2019
Kate Walsh,actor,10,5.0,5.0,6.0,1,2010,2020
